Network,Min Segment Length (m),Max Segment Length (m),Avg Segment Length (m),Total Segment Length (m),Total Segments,Total Timesteps,CN Violations,Number of Segments Violating CN,Length of Network Violating CN,% Segments Violating CN,rpu
rf_s10000_m3500_c3500,5.94,30964.45,3705.94,90280405.26,24361,288,11218,41,2319.486757520982,0.17,14b
rf_s10000_m4500_c4500,5.94,30964.45,3850.87,90268150.6,23441,288,10670,39,2185.8617769896123,0.17,14b
rf_s10000_m500_c500,5.94,30964.45,2482.09,90288416.04,36376,288,18752,68,3664.938310347845,0.19,14b
reference_15a,3.0,29162.0,2625.98,124952210.0,47583,288,137319,652,80931.0,1.37,15a
rf_s10000_m1000_c1000,6.04,29162.06,3176.17,119916386.9,37755,288,32858,138,16301.5187530435,0.37,15a
rf_s10000_m1500_c1500,6.04,29162.06,3444.37,119919305.19,34816,288,32088,132,15165.086150081435,0.38,15a
rf_s10000_m2500_c2500,6.04,29162.06,3852.43,119914518.63,31127,288,30793,123,13144.653356533046,0.4,15a
rf_s10000_m3500_c3500,6.04,31750.34,4104.11,119917909.19,29219,288,30521,124,13943.35962427165,0.42,15a
rf_s10000_m4500_c4500,6.04,31750.34,4265.37,119916571.61,28114,288,29680,119,13091.299616539747,0.42,15a
rf_s10000_m500_c500,6.04,29162.06,2853.2,119905740.04,42025,288,33646,167,32710.797856041117,0.4,15a
reference_15b,1.0,30626.0,2577.76,132007100.0,51210,288,198924,706,42342.0,1.38,15b
rf_s10000_m1000_c1000,1.13,25534.87,3147.28,127162853.51,40404,288,43632,157,12565.3180409307,0.39,15b
rf_s10000_m1500_c1500,1.13,25534.87,3407.88,127158095.61,37313,288,41940,151,12263.340916537414,0.4,15b
rf_s10000_m2500_c2500,1.13,25534.87,3785.49,127150895.06,33589,288,40309,145,11881.60958384963,0.43,15b
rf_s10000_m3500_c3500,1.13,25534.87,4023.04,127136022.79,31602,288,39515,142,11705.635994189077,0.45,15b
rf_s10000_m4500_c4500,1.13,25534.87,4190.94,127123802.28,30333,288,38663,139,11596.646568765836,0.46,15b
rf_s10000_m500_c500,1.13,25534.87,2864.37,127166624.65,44396,288,44438,159,12671.755574743347,0.36,15b
reference_16a,2.0,31471.0,2339.39,111193624.0,47531,288,175594,618,44604.0,1.3,16a
rf_s10000_m1000_c1000,5.99,25313.9,2905.2,104139810.67,35846,288,85084,298,20770.62406824724,0.83,16a
rf_s10000_m1500_c1500,5.99,25313.9,3159.83,104113370.43,32949,288,81671,286,19975.9545464422,0.87,16a
rf_s10000_m2500_c2500,5.99,25313.9,3531.95,104068784.66,29465,288,79089,277,19147.463384233903,0.94,16a
rf_s10000_m3500_c3500,5.99,25313.9,3752.24,104023433.98,27723,288,75735,265,18335.413450982123,0.96,16a
rf_s10000_m4500_c4500,5.99,25313.9,3897.61,103964962.59,26674,288,74869,262,18164.10582490479,0.98,16a
rf_s10000_m500_c500,5.99,25313.9,2594.73,104154972.79,40141,288,89128,312,21953.72772609947,0.78,16a
reference_16b,1.0,45433.0,2313.89,99067060.0,42814,288,130924,463,30243.0,1.08,16b
rf_s10000_m1000_c1000,5.1,33916.24,2854.25,93413767.66,32728,288,54993,194,13693.822579361651,0.59,16b
rf_s10000_m1500_c1500,5.1,33916.24,3134.71,93404916.97,29797,288,52982,187,13373.523994888785,0.63,16b
rf_s10000_m2500_c2500,5.1,33916.24,3515.67,93386760.03,26563,288,48893,172,12395.66469895517,0.65,16b
rf_s10000_m3500_c3500,5.1,33916.24,3740.73,93357505.53,24957,288,46015,161,11557.448633371045,0.65,16b
rf_s10000_m4500_c4500,5.1,33916.24,3893.27,93341186.68,23975,288,46092,161,11489.964486080147,0.67,16b
rf_s10000_m500_c500,5.1,33916.24,2541.52,93421327.48,36758,288,55900,197,13916.442262505016,0.54,16b
reference_17a,6.0,22498.0,1960.64,118601190.0,60491,288,245659,954,86959.0,1.58,17a
rf_s10000_m1000_c1000,5.99,20590.47,2611.84,114330676.5,43774,288,51366,201,19311.18924031977,0.46,17a
rf_s10000_m1500_c1500,5.99,20590.47,2892.18,114324787.61,39529,288,48001,189,18207.755568714547,0.48,17a
rf_s10000_m2500_c2500,5.99,20590.47,3278.98,114315221.92,34863,288,43994,173,16458.655292823583,0.5,17a
rf_s10000_m3500_c3500,5.99,21682.95,3511.51,114299721.37,32550,288,41145,161,14985.363936165491,0.49,17a
rf_s10000_m4500_c4500,5.99,25930.41,3653.94,114291521.29,31279,288,40544,159,15222.415293388392,0.51,17a
rf_s10000_m500_c500,5.99,20590.47,2278.87,114333018.78,50171,288,55340,217,21462.378066080782,0.43,17a
reference_17b,1.0,45135.0,1835.31,195001440.0,106250,288,728466,2837,296315.0,2.67,17b
rf_s10000_m1000_c1000,0.7,24429.12,2402.45,187799396.76,78170,288,112802,448,57663.03183832497,0.57,17b
rf_s10000_m1500_c1500,0.7,24429.12,2668.58,187801080.64,70375,288,102203,407,50880.083759041314,0.58,17b
rf_s10000_m2500_c2500,0.7,24429.12,3010.6,187783327.65,62374,288,93678,373,46124.93903862047,0.6,17b
rf_s10000_m3500_c3500,0.7,24429.12,3191.81,187764618.04,58827,288,86390,343,42894.86170984278,0.58,17b
rf_s10000_m4500_c4500,0.7,24429.12,3304.54,187750948.39,56816,288,81754,322,38808.00879018706,0.57,17b
rf_s10000_m500_c500,0.7,24429.12,2088.5,187798310.64,89920,288,124059,504,73784.40106840059,0.56,17b
reference_17c,2.0,28677.0,2220.3,98743400.0,44473,288,176222,696,61928.0,1.56,17c
rf_s10000_m1000_c1000,1.79,28677.14,2746.02,95149543.92,34650,288,25981,106,14260.261602886549,0.31,17c
rf_s10000_m1500_c1500,1.79,28677.14,3008.94,95145761.58,31621,288,23780,96,12448.498217062512,0.3,17c
rf_s10000_m2500_c2500,1.79,28677.14,3367.41,95139526.85,28253,288,21876,88,11234.77833771928,0.31,17c
rf_s10000_m3500_c3500,1.79,28677.14,3589.14,95112221.71,26500,288,21011,84,10887.985825800006,0.32,17c
rf_s10000_m4500_c4500,1.79,28677.14,3737.51,95100854.56,25445,288,20217,81,10465.89360041971,0.32,17c
rf_s10000_m500_c500,1.79,28677.14,2454.16,95152653.91,38772,288,27851,115,15724.54848857128,0.3,17c
reference_17d,1.0,30668.0,2229.89,39674132.0,17792,288,74878,284,23740.0,1.6,17d
rf_s10000_m1000_c1000,1.48,20040.05,2679.98,38238014.51,14268,288,5628,24,3071.4185001609467,0.17,17d
rf_s10000_m1500_c1500,1.48,20040.05,2904.08,38238014.51,13167,288,5191,22,2887.634705775397,0.17,17d
rf_s10000_m2500_c2500,1.48,23911.75,3266.31,38232190.49,11705,288,3961,17,1905.097400159477,0.15,17d
rf_s10000_m3500_c3500,1.48,21224.81,3476.6,38232190.49,10997,288,3924,16,1851.247820357171,0.15,17d
rf_s10000_m4500_c4500,1.48,21186.73,3618.07,38232190.49,10567,288,3936,16,1851.247820357171,0.15,17d
rf_s10000_m500_c500,1.48,20040.05,2423.97,38240490.14,15776,288,6378,28,4386.742228743528,0.18,17d
reference_18a,2.0,29501.0,2166.49,99545880.0,45948,288,152602,543,39633.0,1.18,18a
rf_s10000_m1000_c1000,1.92,29350.8,2690.8,94105310.47,34973,288,27078,97,8768.688798657484,0.28,18a
rf_s10000_m1500_c1500,5.26,29350.8,2936.34,94101009.51,32047,288,26193,94,8519.804576778346,0.29,18a
rf_s10000_m2500_c2500,5.26,29350.8,3272.15,94090714.12,28755,288,24011,86,7913.735206541577,0.3,18a
rf_s10000_m3500_c3500,5.26,29350.8,3470.39,94065040.1,27105,288,22670,81,7555.410300334516,0.3,18a
rf_s10000_m4500_c4500,5.26,29350.8,3590.06,94041742.22,26195,288,22695,81,7619.392704182587,0.31,18a
rf_s10000_m500_c500,1.92,29350.8,2393.93,94110017.58,39312,288,28672,103,9287.839939379426,0.26,18a
reference_18b,1.0,33343.0,1684.94,115681120.0,68656,288,301069,1076,77255.0,1.57,18b
rf_s10000_m1000_c1000,5.96,33343.27,2300.67,111016460.23,48254,288,61574,224,18212.645215267745,0.46,18b
rf_s10000_m1500_c1500,5.96,33343.27,2554.75,111011618.28,43453,288,58711,213,17167.861206917896,0.49,18b
rf_s10000_m2500_c2500,5.96,33343.27,2884.94,110995014.65,38474,288,53661,194,15500.486734445709,0.5,18b
rf_s10000_m3500_c3500,5.96,33343.27,3077.2,110979103.88,36065,288,49982,181,14523.715314068591,0.5,18b
rf_s10000_m4500_c4500,5.96,33343.27,3191.03,110958367.16,34772,288,49632,180,14382.749792651408,0.52,18b
